#,BAL SIM,22 COL,22 TEX,19 SEA,17 CIN,MEAN,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
3,-3,1,-1,3,1,0.2,3,-1,-1,1,1,-3,1,-1,-1,-1,-1,-1,1,3,1,1,-1,1,-3,1,3,1,-1,-1,1,3,1,-3,-1
6,-6,2,-2,4,2,0,2,-4,0,-2,0,0,2,-2,-2,0,-2,0,0,4,4,2,2,0,-2,2,4,2,-4,2,4,2,-2,-4,-2
9,-9,3,-5,5,5,-0.2,-1,-1,1,1,-1,-1,1,-3,-3,1,-5,3,1,7,1,3,3,3,-3,3,3,3,-5,3,1,3,-1,-5,-3
12,-10,4,-6,8,4,0,-2,2,2,4,-2,-2,2,-6,-2,2,-4,2,4,8,0,2,4,2,0,4,0,2,-8,4,2,2,-4,-8,0
15,-11,5,-5,11,3,0.6,-1,3,1,7,-3,-5,3,-7,-5,3,-5,1,3,9,-1,-1,7,1,-3,5,3,1,-7,5,3,3,-1,-7,-1
18,-12,2,-6,8,0,-1.6,2,2,0,6,-2,-6,0,-8,-4,2,-4,4,2,10,-2,0,4,4,-2,6,4,0,-8,6,4,4,-2,-6,-4
21,-11,3,-7,5,-1,-2.2,3,-1,1,7,-1,-5,3,-9,-5,1,-5,1,1,9,-5,-1,7,3,1,7,7,-3,-7,5,5,3,1,-9,-3
24,-14,4,-4,8,-2,-1.6,4,0,2,6,-2,-4,0,-6,-4,0,-4,-2,4,6,-4,-2,6,6,4,10,8,-6,-8,4,4,6,2,-10,-6
27,-13,5,-5,5,-1,-1.8,3,1,1,3,1,-1,-3,-5,-5,-1,-3,-5,3,7,-1,-5,3,5,5,11,11,-3,-7,1,3,9,1,-13,-3
30,-12,2,-4,6,2,-1.2,4,2,0,2,2,0,-4,-4,-6,0,-4,-6,2,8,0,-6,2,6,6,8,14,0,-10,4,0,10,0,-14,-4
