#,BAL,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
3,-1,1,-1,-3,1,1,-1,-3,1,3,1,1,-1,-1,3,-3,1,-3,3,1,-1,-1,1,-1,-1,3,3,-3,-1,1
6,0,0,-2,-4,0,-2,0,0,2,6,2,2,2,-2,2,-6,2,-4,4,2,-2,-2,2,-4,0,4,6,-4,-4,0
9,1,1,-3,-5,1,-3,1,1,3,7,3,3,1,-1,3,-7,1,-1,3,3,-3,-1,1,-5,-3,3,5,-3,-5,-1
12,2,0,-2,-6,2,-6,0,-2,4,10,2,0,2,-2,0,-10,4,2,4,2,0,0,2,-6,-2,2,4,-2,-6,2
15,3,1,-3,-5,3,-7,1,-5,5,9,5,-1,1,-1,-1,-9,3,3,5,3,-1,1,1,-7,-1,1,3,-3,-9,5
18,4,2,0,-6,4,-6,4,-2,4,6,4,-4,-2,0,-2,-12,2,4,8,0,2,4,4,-10,-2,2,4,-4,-12,4
21,3,5,1,-3,5,-9,1,-3,5,9,5,-3,-3,-1,1,-15,1,3,9,-1,3,5,3,-11,1,1,1,-3,-15,5
24,2,6,0,-2,6,-8,0,0,2,6,2,-4,-4,2,2,-14,-2,4,8,-2,0,8,2,-12,4,-2,4,-2,-14,8
27,-1,5,1,-1,5,-9,1,-1,1,5,1,-5,-7,1,3,-15,1,5,9,-1,-1,11,-1,-11,7,-1,5,-1,-15,9
30,-2,2,2,0,2,-10,2,-2,0,2,0,-4,-4,2,4,-16,2,2,10,0,-2,12,2,-8,4,-2,8,2,-16,8
33,-1,-1,5,-1,1,-11,-1,-5,1,3,1,-5,-5,1,3,-17,3,3,11,-1,-1,15,1,-5,3,-1,9,3,-17,9
36,-4,0,6,0,2,-8,-4,-6,4,6,2,-4,-6,4,4,-18,4,2,12,-2,-4,14,0,-6,2,-2,12,4,-20,6
39,-5,1,5,1,1,-9,-7,-9,7,9,1,-5,-5,1,1,-19,5,3,15,-1,-3,13,-1,-3,5,-1,13,1,-21,7
42,-8,4,4,4,2,-10,-10,-12,8,8,0,-6,-4,0,2,-20,6,4,16,-4,-2,12,0,-4,8,-2,14,4,-22,8
45,-9,3,5,7,3,-11,-9,-15,9,7,1,-7,-5,1,3,-23,5,7,19,-3,-1,13,1,-5,7,-3,15,3,-25,7
48,-10,4,4,8,4,-14,-10,-18,8,8,2,-8,-6,-2,2,-20,4,6,18,-2,2,16,2,-4,8,-2,14,4,-26,8
51,-11,5,1,7,5,-13,-11,-19,9,7,1,-7,-7,-1,3,-21,7,7,21,-1,3,19,1,-3,5,-3,13,1,-27,9
54,-10,6,2,10,4,-12,-8,-20,10,6,4,-10,-10,-2,0,-20,4,8,18,0,4,18,4,-4,8,-4,12,0,-28,10
57,-9,5,5,11,5,-13,-9,-23,11,7,3,-9,-11,-1,1,-21,7,11,19,-1,5,17,5,-7,7,-3,11,-1,-31,9
60,-10,6,6,14,8,-14,-12,-22,10,8,6,-12,-8,-4,0,-22,4,10,20,0,6,18,4,-8,8,-2,12,-2,-32,8
63,-11,7,9,15,5,-13,-13,-23,11,7,9,-15,-5,-7,1,-19,3,7,21,-1,9,19,3,-7,9,-1,11,-3,-35,7
66,-14,6,8,16,6,-16,-12,-26,10,10,6,-16,-6,-6,2,-18,2,10,22,-2,8,22,4,-6,8,-2,14,-2,-36,8
69,-17,7,11,17,5,-17,-9,-25,11,13,3,-15,-7,-9,3,-19,1,9,23,-5,11,21,7,-5,11,-3,15,-5,-39,7
72,-16,8,10,16,6,-18,-8,-28,10,16,2,-14,-8,-8,2,-18,2,8,24,-6,8,24,6,-4,12,-4,14,-8,-36,8
75,-15,11,13,17,5,-17,-9,-29,9,19,-1,-15,-7,-11,1,-17,1,7,21,-3,5,27,7,-3,11,-3,17,-7,-39,5
78,-16,10,14,16,6,-16,-10,-26,10,18,2,-18,-4,-10,2,-16,-2,8,18,-4,6,30,6,-6,10,-4,16,-6,-38,4
81,-15,9,13,15,9,-15,-9,-29,11,17,5,-19,-5,-9,3,-17,-5,9,19,-5,3,29,9,-9,11,-3,19,-7,-39,5
84,-12,8,14,14,8,-14,-6,-26,8,16,8,-22,-2,-10,0,-16,-4,10,16,-6,2,32,6,-8,8,0,16,-4,-42,6
87,-9,11,17,11,5,-13,-3,-29,7,15,11,-25,-3,-13,-3,-19,-7,13,19,-7,3,31,9,-7,11,1,17,-7,-43,7
90,-10,10,14,8,6,-12,-4,-32,4,16,10,-24,-2,-10,-2,-20,-8,14,20,-8,4,34,12,-6,14,2,16,-8,-44,6
93,-7,7,11,11,5,-9,-3,-31,5,19,9,-27,-3,-9,-1,-23,-11,13,19,-5,5,37,15,-7,11,-1,17,-7,-45,5
